arch_id,name,link,categories,notes,num_nodes,num_edges,category_list
WS2Qgx0qgCM,Airbnb: Securing MultiTenant Kubernetes Clusters at Scale,https://www.youtube.com/watch?v=WS2Qgx0qgCM,control,"Airbnb runs their own Kubernetes clusters on EC2.
    This is because sometimes they need their own features or back port fixes.
    Many pods run on a single host and they fine-grain IAM roles to these pods.
    The first EC2 provides tokens to each pod. Pod forwards it to STS.
    STS checks the IAM role and sends credentials back to the Pod.
    Security is defined based on namespaces and IAM roles.
    Events are stored in CloudTrail which is queried using ElasticSearch for patterns/debugging.",6,8,control
AzM_d7ZvzUE,Epsagon: Automatically Tracing and Analyzing Billions of AWS Serverless Events,https://www.youtube.com/watch?v=AzM_d7ZvzUE,data_ingestion,Monitoring company100s of 1000s of Lambdas are monitored and only the data required to monitor Lambdas is persisted,11,20,data_ingestion
6LcSv9XocTY,Intuit: Serving 7 Million Customers Using Amazon Connect,https://www.youtube.com/watch?v=6LcSv9XocTY,"data_ingestion,interactive","Transcribe and Comprehend - easy to use, cost effective, time saving. pay as you go model lets them to experiment well then spinning up as POC. pure serverless - helps as tax filing in US is high during few months of the year, huge peaks. Did the contact center in house which took them few months compared to few years(if not for AWS). Video mentions the use of kinesis for events but the graph does not depict that. Adding it to make it complete.",11,18,"data_ingestion, interactive"
3yJZ6rPoZfg,Hexagon HxDR: Cloud-Based Visualization of Spatial Data,https://www.youtube.com/watch?v=3yJZ6rPoZfg,compute_intensive,"- HxDR is a cloud-based visualization platform for spatial data. (Hexagon Digital Reality)
 - This product is the datastore which stores the licensed data. Platform for sending data and integrating with other systems.",7,9,compute_intensive
JRDGId6N49E,TRI-AD: Large-Scale and High-Performance Distributed Training Platform,https://www.youtube.com/watch?v=JRDGId6N49E,compute_intensive,"autonomous driving. safe cars. high compute and storage framework. for scalbility, replication between 2 S3 between regions. service catalog reduces development time.challenges? data and ability to manage large amount of data. shortening sdlc.",6,3,compute_intensive
KgRib8AM0fs,Hudl: Ingesting and Transcoding Video Data Using AWS,https://www.youtube.com/watch?v=KgRib8AM0fs,compute_intensive,10K instances. 30K events/minute. Latency ~2mins. Drain jobs when termination notice comes up. Use spot advisor. Use common pattern of having lambda look at SQS length and cloudwatch to scale up SpotFleet,7,8,compute_intensive
eEfWd4EgH_s,Homegate AG: A Serverless Real Estate Platform,https://www.youtube.com/watch?v=eEfWd4EgH_s,data_ingestion,"Company is a real state company which has around 100000 leased properties advertised, more than 9 million visits per month
    System is for leasing data ingestion
    Migrated to serverless to scale team and avoid managing infrastructure
    Migrated from monolithic db to dynamodb because it's managed, and it has fast provision
    Step functions are used for more efficient debugging (visualized), and easier future modification
    The final result in SNS is consumed by other services (eg. social media alert)
    The",10,10,data_ingestion
YV8e36ZywLk,Syntax: Extract and Leverage SAP Data with AWS Services,https://www.youtube.com/watch?v=YV8e36ZywLk,other,"System: communicate between SAP environments and AWS analytical services
    Works as an add-on to SAP based on ABAP language which is native to SAP
    Utilizes a native functionality, SLT, in SAP environments to communicate with S3 and Kinesis Data Stream in high volume
    Customers may have 700000 records generated from 90 sources of data per minute, which leads to more than 500 million records per hour
    Builds on Application layer, and does not require middleware
    Future: enable Amazon Service Event Bridge to replace SNS",5,4,other
_vjB_vF4Uec,Nasuni: Building a Global File Lock Service on AWS,https://www.youtube.com/watch?v=_vjB_vF4Uec,interactive,Global file locking infra. Latency sensitive - so using dymano. Multi region service. Lambda was used to achieve global consistency before dynamo global tables were introduced. Route53 to handle region failovers. 31B requests in a year. 2000 requests/sec. 40 ms latency target for the complete transaction.,6,9,interactive
ww5fiygF6eg,Marathon Oil: Automating Drone Image Processing to Monitor Equipment Health,https://www.youtube.com/watch?v=ww5fiygF6eg,"data_ingestion,interactive",Energy company. Using drones to monitor well pads.,10,20,"data_ingestion, interactive"
